course,unique,days,hour,room,instruction_mode,instructor,status,level
GER f506 FIRST-YEAR GERMAN I-WB  (First term),79945,MWF,8:30 a.m.-11:30 a.m.,,Internet,"THORNTON, LIZANNE JILL",open,Lower
GER n612 ACC SEC-YR GER: REA MOD GER-WB  (Nine week term),79950,MWF,10:00 a.m.-12:00 p.m.,,Internet,"WOOTEN, ANNE",open,Lower
GER n312L SEC-YR GER II: HMN/SOC SCI-GER  (Nine week term),79955,,,,Face-to-face,"EWING, KAREN J",open; reserved,Lower
GER s507 FIRST-YEAR GERMAN II-WB  (Second term),80000,MWF,8:30 a.m.-11:30 a.m.,,Internet,"FALLY, JELENA CLAIRE",open,Lower
GER n322D CONV/COMP: IND/SOCIETY-GER  (Nine week term),79960,,,,Face-to-face,"EWING, KAREN J",open; reserved,Upper
GER n379 CONF CRS IN GERMAN LANG OR LIT  (Nine week term),79965,,,,Face-to-face,,open; reserved,Upper
GER w698A THESIS-WB  (Whole term),79970,,,,Internet,,open,Graduate
GER w698B THESIS-WB  (Whole term),79975,,,,Internet,,open,Graduate
GER w398R MASTER'S REPORT-WB  (Whole term),79980,,,,Internet,,open,Graduate
GER w399W DISSERTATION  (Whole term),79985,,,,Face-to-face,,open,Graduate
GER w699W DISSERTATION  (Whole term),79990,,,,Face-to-face,,open,Graduate
GER w999W DISSERTATION  (Whole term),79995,,,,Face-to-face,,open,Graduate
GER s380C GER FOR GRAD STU OTHER DEPT-WB  (Second term),80005,MTWTHF,10:00 a.m.-11:30 a.m.,,Internet,"FULK, KIRKLAND ALEXANDER",open,Graduate
GER s385 CONF CRS IN GERMAN LANG OR LIT  (Second term),80010,,,,Face-to-face,,open,Graduate
GK w804 INTENSIVE BEGINNING GREEK  (Whole term),78750,MTWTHF,8:30 a.m.-2:30 p.m.,WAG 10,Face-to-face,,open,Lower
GK w412 INTENSIVE GREEK  (Whole term),78755,,,,Face-to-face,,open,Lower
GK f386K CONFERENCE COURSE IN GREEK LIT  (First term),78760,,,,Face-to-face,,open,Graduate
GK w386L CONF COURSE IN GREEK LANGUAGE  (Whole term),78765,,,,Face-to-face,,open,Graduate
GK w398R MASTER'S REPORT  (Whole term),78770,,,,Face-to-face,,open,Graduate
GK w399W DISSERTATION  (Whole term),78775,,,,Face-to-face,,open,Graduate
GK w699W DISSERTATION  (Whole term),78780,,,,Face-to-face,,open,Graduate
GK w999W DISSERTATION  (Whole term),78785,,,,Face-to-face,,open,Graduate
GK s386K CONFERENCE COURSE IN GREEK LIT  (Second term),78790,,,,Face-to-face,,open,Graduate
GOV f306C POL/GOV CONTEMPORARY TEXAS-WB  (First term),80130,,,,Internet,,open,Lower
GOV f310L AMERICAN AND TEXAS GOV-WB  (First term),80135,,,,Internet,,open,Lower
GOV f312L ISS & POLICIES IN AMER GOV-WB  (First term),80140,,,,Internet,"MOSER, ROBERT G",open,Lower
GOV f312P CONSTTNL PRINS: CORE TEXTS-WB  (First term),80145,MTWTHF,8:30 a.m.-10:00 a.m.,,Internet,,cancelled,Lower
GOV s310L AMERICAN AND TEXAS GOV-WB  (Second term),80215,,,,Internet,,open,Lower
GOV s312L ISS & POLICIES IN AMER GOV-WB  (Second term),80220,,,,Internet,,open,Lower
GOV f344L INTRO TO COMPARATIVE POLIT-WB  (First term),80150,,,,Internet,"BARNES, TIFFANY D",open,Upper
GOV f350K STATISTICAL ANLY IN POL SCI-WB  (First term),80155,,,,Internet,,open,Upper
GOV f360D INTERNATIONAL SECURITY-WB  (First term),80160,,,,Internet,"MCDONALD, PATRICK J",waitlisted,Upper
GOV w362L GOVERNMENT RESEARCH INTERN-WB  (Whole term),80165,,,,Internet,,open; reserved,Upper
GOV f371U POLITICS AND FILM-WB  (First term),80170,,,,Internet,,open,Upper
GOV s335Q GLOBAL JUSTICE-WB  (Second term),80225,,,,Internet,"GREGG, BENJAMIN G",waitlisted,Upper
GOV s350K STATISTICAL ANLY IN POL SCI-WB  (Second term),80230,,,,Internet,"JESSEE, STEPHEN AUGUST",open,Upper
GOV s360F GLOBAL GOVERNANCE-WB  (Second term),80235,,,,Internet,,open,Upper
GOV s365W HUMAN RIGHTS/WORLD POLITICS-WB  (Second term),80240,,,,Internet,,open,Upper
GOV f397K CONF CRS IN POLITICAL SCIENCE  (First term),80175,,,,Face-to-face,,open,Graduate
GOV w397K CONF CRS IN POLITICAL SCIENCE  (Whole term),80180,,,,Face-to-face,,open,Graduate
GOV w698A THESIS  (Whole term),80185,,,,Face-to-face,,open,Graduate
GOV w698B THESIS  (Whole term),80190,,,,Face-to-face,,open,Graduate
GOV w398R MASTER'S REPORT  (Whole term),80195,,,,Face-to-face,,open,Graduate
GOV w399W DISSERTATION  (Whole term),80200,,,,Face-to-face,,open,Graduate
GOV w699W DISSERTATION  (Whole term),80205,,,,Face-to-face,,open,Graduate
GOV w999W DISSERTATION  (Whole term),80210,,,,Face-to-face,,open,Graduate
GOV s397K CONF CRS IN POLITICAL SCIENCE  (Second term),80245,,,,Face-to-face,,open,Graduate
GRG n401C THE NATURAL ENVIRONMENT-WB  (Nine week term),79835,,,,Internet,"PLOETZ, CHRIS J",open,Lower
