course,unique,days,hour,room,instruction_mode,instructor,status,level
ORI  380M RESEARCH,20920,,,,Face-to-face,,open; reserved,Graduate
ORI  680M RESEARCH,20925,,,,Face-to-face,,open; reserved,Graduate
ORI  980M RESEARCH,20930,,,,Face-to-face,,open; reserved,Graduate
ORI  390D 3-DECISION ENGINEERING,20935,TTH,9:30 a.m.-11:00 a.m.,ETC 2.114,Face-to-face,"BICKEL, J ERIC",open; reserved,Graduate
ORI  390R 1-APPLIED PROBABILITY,20940,TTH,11:00 a.m.-12:30 p.m.,ETC 3.112,Face-to-face,"LEIBOWICZ, BENJAMIN D",open; reserved,Graduate
ORI  391Q 5-LINEAR PROGRAMMING,20945,TTH,12:30 p.m.-2:00 p.m.,ETC 4.150,Face-to-face,"BARD, JONATHAN F",open; reserved,Graduate
ORI  397 HIGH DIMENSIONAL STATS/PROBLTY,20950,TTH,3:30 p.m.-5:00 p.m.,ETC 4.150,Face-to-face,,open; reserved,Graduate
ORI  397 LEAN SIX SIGMA,20954,TTH,11:00 a.m.-12:30 p.m.,ETC 7.146,Face-to-face,,open; reserved,Graduate
ORI  397K GRADUATE SEMINAR,20955,F,2:00 p.m.-5:00 p.m.,ETC 5.132,Face-to-face,"HASENBEIN, JOHN J",open,Graduate
ORI  397M GRADUATE RESEARCH INTERNSHIP,20960,,,,Face-to-face,,open; reserved,Graduate
ORI  397P PROJ IN OPER RSCH & INDUS ENGR,20965,,,,Face-to-face,,open; reserved,Graduate
ORI  698A THESIS,20970,,,,Face-to-face,,open; reserved,Graduate
ORI  698B THESIS,20975,,,,Face-to-face,,open; reserved,Graduate
ORI  398R MASTER'S REPORT,20980,,,,Face-to-face,,open; reserved,Graduate
ORI  399W DISSERTATION,20985,,,,Face-to-face,,open; reserved,Graduate
ORI  699W DISSERTATION,20990,,,,Face-to-face,,open; reserved,Graduate
ORI  999W DISSERTATION,20995,,,,Face-to-face,,open; reserved,Graduate
P A  315 ECONOMIC ANLY FOR PUBL AFFAIRS,65681,MW F,11:00 a.m.-12:00 p.m. 11:00 a.m.-12:00 p.m.,SRH 3.122 SRH 3.312,Face-to-face,"SINGELL, LARRY",waitlisted,Lower
P A  315 ECONOMIC ANLY FOR PUBL AFFAIRS,65682,MW F,11:00 a.m.-12:00 p.m. 10:00 a.m.-11:00 a.m.,SRH 3.122 SRH 3.312,Face-to-face,"SINGELL, LARRY",open; reserved,Lower
P A  311N QUANTITATIVE MTHDS PUBL AFFRS,65683,MW F,2:00 p.m.-3:00 p.m. 10:00 a.m.-11:00 a.m.,SRH 3.B10 SRH 3.216,Face-to-face,"GARCIA, SERGIO I",waitlisted,Lower
